iter	Logloss
0	0.6668765853
1	0.6510373912
2	0.6403144795
3	0.6334064855
4	0.6285440273
5	0.6255641977
6	0.6225039286
7	0.6204727293
8	0.6186555342
9	0.6159126597
10	0.6145059302
11	0.6133970584
12	0.6123118684
13	0.6111200932
14	0.6101908459
15	0.6095888642
16	0.6083318628
17	0.6073495964
18	0.6065873546
19	0.6057249207
20	0.6050539793
21	0.6042385992
22	0.6038236488
23	0.6034822753
24	0.6023098708
25	0.6014180953
26	0.6008016851
27	0.6001717695
28	0.599790057
29	0.599097897
30	0.5984813727
31	0.5980273539
32	0.596997793
33	0.5963150269
34	0.5959508886
35	0.5954180381
36	0.5945628458
37	0.5942260762
38	0.5935726281
39	0.5929846565
40	0.5925399069
41	0.5921197787
42	0.5917698702
43	0.5913064877
44	0.590894095
45	0.5904673708
46	0.5900017861
47	0.5892571935
48	0.5887998708
49	0.5883873905
50	0.5878345552
51	0.5874846743
52	0.5871518297
53	0.5868220991
54	0.5863084688
55	0.5856381081
56	0.5849856908
57	0.5843356103
58	0.5838793033
59	0.5830586538
60	0.5825493192
61	0.5820831158
62	0.5814376603
63	0.5808355197
64	0.5800299658
65	0.579395387
66	0.5785839617
67	0.5780304225
68	0.5774916565
69	0.5769981149
70	0.5766990281
71	0.5761742883
72	0.5758780557
73	0.5752315206
74	0.5743604608
75	0.5739595514
76	0.5733405851
77	0.5729172146
78	0.5719365594
79	0.5714979219
80	0.5710582301
81	0.5706250809
82	0.5699706904
83	0.569527453
84	0.5690709362
85	0.5686337857
86	0.5682273307
87	0.5678329327
88	0.5672369957
89	0.5664448061
90	0.5660804071
91	0.565564419
92	0.5652360268
93	0.5647074302
94	0.5643405738
95	0.5638183622
96	0.563569487
97	0.5629741831
98	0.5624817518
99	0.5620816754
100	0.561857604
101	0.5614661735
102	0.5608832123
103	0.5605308105
104	0.5601649681
105	0.5597645347
106	0.5594362381
107	0.5590279143
108	0.5587277266
109	0.5583240879
110	0.5580158847
111	0.5576221557
112	0.5572023377
113	0.5566518249
114	0.5560508953
115	0.555666487
116	0.5546952367
117	0.5542955277
118	0.55400681
119	0.5535762715
120	0.5531790727
121	0.5527741242
122	0.5523299922
123	0.5519316815
124	0.5516618308
125	0.55133466
126	0.5510513322
127	0.550599449
128	0.5503455572
129	0.5501144465
130	0.5496740751
131	0.5492608584
132	0.5489488167
133	0.5486372574
134	0.5478970238
135	0.5473653399
136	0.5471951059
137	0.5468021532
138	0.546471758
139	0.5460638095
140	0.5457329904
141	0.5452551065
142	0.5448422914
143	0.5445569579
144	0.5442088727
145	0.5438948644
146	0.5436345208
147	0.54334629
148	0.5431143723
149	0.5428897838
150	0.5426108911
151	0.5422310573
152	0.5420097322
153	0.5416561717
154	0.5413867287
155	0.5410516884
156	0.5405675729
157	0.5402985334
158	0.5400047366
159	0.5396231314
160	0.5393198507
161	0.5389921679
162	0.5386580609
163	0.5384408934
164	0.5380820687
165	0.5377017601
166	0.5373804324
167	0.5370975486
168	0.5368278022
169	0.5365742227
170	0.5363075127
171	0.5360760515
172	0.5358101308
173	0.5355041581
174	0.5351363175
175	0.534766113
176	0.5344394832
177	0.5342524597
178	0.5339529558
179	0.5336889241
180	0.5335001543
181	0.5332572652
182	0.5328905505
183	0.5326924194
184	0.5324196695
185	0.5320621404
186	0.5319217498
187	0.5314664285
188	0.5312335208
189	0.5309335672
190	0.5306125199
191	0.5303032332
192	0.5299723698
193	0.5297334886
194	0.5294897067
195	0.5291825476
196	0.528868656
197	0.5286178298
198	0.5282761578
199	0.5280766272
